[2023-11-15 18:21:27] 前往[-81,104],容忍度4
[2023-11-15 18:22:58] Y轴卡住:0
[2023-11-15 18:22:58] Y轴卡住:1
[2023-11-15 18:22:59] Y轴卡住:0
[2023-11-15 18:22:59] Y轴卡住:1
[2023-11-15 18:22:59] Y轴卡住:2
[2023-11-15 18:22:59] Y轴卡住:0
[2023-11-15 18:22:59] Y轴卡住:1
[2023-11-15 18:22:59] Y轴卡住:2
[2023-11-15 18:22:59] Y轴卡住:3
[2023-11-15 18:22:59] Y轴卡住:4
[2023-11-15 18:22:59] Y轴卡住:5
[2023-11-15 18:22:59] Y轴卡住:6
[2023-11-15 18:22:59] Y轴卡住:7
[2023-11-15 18:22:59] Y轴卡住:8
[2023-11-15 18:22:59] Y轴卡住:9
[2023-11-15 18:22:59] Y轴卡住:10
[2023-11-15 18:22:59] Y轴卡住:11
[2023-11-15 18:22:59] Y轴卡住:12
[2023-11-15 18:22:59] Y轴卡住:13
[2023-11-15 18:22:59] Y轴卡住:14
[2023-11-15 18:22:59] Y轴卡住:15
[2023-11-15 18:23:00] Y轴到了
[2023-11-15 18:23:16] 前往[-58,90],容忍度4
[2023-11-15 18:23:19] Y轴卡住:1
[2023-11-15 18:23:19] Y轴卡住:2
[2023-11-15 18:23:19] Y轴卡住:3
[2023-11-15 18:23:19] Y轴卡住:4
[2023-11-15 18:23:19] Y轴卡住:5
[2023-11-15 18:23:19] Y轴卡住:6
[2023-11-15 18:23:19] Y轴卡住:7
[2023-11-15 18:23:19] Y轴卡住:8
[2023-11-15 18:23:19] Y轴卡住:9
[2023-11-15 18:23:19] Y轴卡住:10
[2023-11-15 18:23:19] Y轴卡住:11
[2023-11-15 18:23:19] Y轴卡住:12
[2023-11-15 18:23:19] Y轴卡住:13
[2023-11-15 18:23:19] Y轴卡住:14
[2023-11-15 18:23:19] Y轴卡住:15
[2023-11-15 18:23:19] 确实是卡住了
[2023-11-15 18:23:19] 钩子一次
[2023-11-15 18:23:20] Y轴卡住:1
[2023-11-15 18:23:20] Y轴卡住:0
[2023-11-15 18:23:20] Y轴卡住:1
[2023-11-15 18:23:20] Y轴卡住:0
[2023-11-15 18:23:20] Y轴卡住:1
[2023-11-15 18:23:20] Y轴卡住:0
[2023-11-15 18:23:20] Y轴卡住:1
[2023-11-15 18:23:20] Y轴卡住:0
[2023-11-15 18:23:20] Y轴卡住:1
[2023-11-15 18:23:20] Y轴卡住:0
[2023-11-15 18:23:20] Y轴卡住:1
[2023-11-15 18:23:20] Y轴卡住:2
[2023-11-15 18:23:20] Y轴卡住:0
[2023-11-15 18:23:20] Y轴卡住:1
[2023-11-15 18:23:21] Y轴卡住:0
[2023-11-15 18:23:21] Y轴卡住:1
[2023-11-15 18:23:21] Y轴卡住:2
[2023-11-15 18:23:21] Y轴卡住:3
[2023-11-15 18:23:21] Y轴卡住:4
[2023-11-15 18:23:21] Y轴卡住:0
[2023-11-15 18:23:21] Y轴卡住:1
[2023-11-15 18:23:21] Y轴卡住:0
[2023-11-15 18:23:21] Y轴卡住:1
[2023-11-15 18:23:21] Y轴卡住:0
[2023-11-15 18:23:21] Y轴卡住:1
[2023-11-15 18:23:21] Y轴卡住:2
[2023-11-15 18:23:21] Y轴卡住:3
[2023-11-15 18:23:21] Y轴卡住:4
[2023-11-15 18:23:21] Y轴卡住:5
[2023-11-15 18:23:21] Y轴卡住:6
[2023-11-15 18:23:21] Y轴卡住:7
[2023-11-15 18:23:21] Y轴卡住:8
[2023-11-15 18:23:21] Y轴卡住:9
[2023-11-15 18:23:22] Y轴卡住:10
[2023-11-15 18:23:22] Y轴卡住:11
[2023-11-15 18:23:22] Y轴卡住:12
[2023-11-15 18:23:22] Y轴卡住:13
[2023-11-15 18:23:22] Y轴卡住:14
[2023-11-15 18:23:22] Y轴卡住:15
[2023-11-15 18:23:22] Y轴到了
